time,t2m_c_anom,tcc_anom,ssr_anom,str_nlw_anom,tisr_anom,tsr_anom,ttr_anom,number_anom,t2m_c_max_anom,t2m_c_min_anom,net_rad_anom,reflected_solar_anom
2024-06-21,-0.5117,0.0452,-1.8212,0.8695,0.0923,-1.3353,0.7885,0.0,-0.7372,-0.24,-0.9518,1.4276
2024-06-22,-0.2506,0.0288,-3.419,0.7135,0.0975,-3.0646,1.931,0.0,-0.3516,-0.2915,-2.7055,3.1621
2024-06-23,-0.1473,0.0663,-3.8874,0.7717,0.1015,-3.51,2.4956,0.0,-0.3448,-0.0362,-3.1157,3.6115
2024-06-24,0.0829,0.0778,-3.1535,0.8651,0.1044,-2.7263,2.5637,0.0,-0.0347,0.1266,-2.2884,2.8307
2024-06-25,0.0067,0.1255,-3.4052,1.1263,0.106,-3.1066,3.6752,0.0,-0.137,0.1764,-2.279,3.2126
2024-06-26,-0.1057,0.1471,-5.4742,1.5552,0.1063,-5.0642,4.8563,0.0,-0.4363,0.2976,-3.9191,5.1706
2024-06-27,-0.2958,0.1575,-5.3358,1.8134,0.1054,-4.8541,4.6839,0.0,-0.5904,0.191,-3.5223,4.9595
2024-06-28,-0.3985,0.0645,-2.2454,1.7618,0.1032,-1.6752,1.8461,0.0,-0.8209,0.0629,-0.4836,1.7784
2024-06-29,-0.5108,0.0601,-1.9593,1.6481,0.0997,-1.363,1.6071,0.0,-0.926,0.0091,-0.3112,1.4627
2024-06-30,-0.557,0.1004,-3.2081,1.7124,0.0948,-2.6393,3.3667,0.0,-0.9216,-0.1519,-1.4956,2.7341
2024-07-01,-0.0403,-0.0145,0.5927,-0.4266,0.3753,0.2689,0.2463,0.0,0.0532,-0.1648,0.1661,0.1064
2024-07-02,-0.045,-0.0165,0.2965,-0.2592,0.3676,0.1366,-1.0992,0.0,0.0822,-0.1275,0.0373,0.231
2024-07-03,0.1543,0.0023,1.38,-0.2954,0.3585,1.1825,-1.265,0.0,0.2596,0.0213,1.0846,-0.824
2024-07-04,-0.1205,0.0443,-0.5787,-0.0011,0.3479,-0.6522,1.0488,0.0,-0.0745,0.011,-0.5798,1.0001
2024-07-05,-0.304,0.0463,-1.2294,0.2386,0.3357,-1.1925,1.283,0.0,-0.3304,-0.1246,-0.9908,1.5282
2024-07-06,-0.417,0.0315,-1.7155,0.4024,0.322,-1.7094,0.7014,0.0,-0.4949,-0.2493,-1.3131,2.0314
2024-07-07,-0.4063,0.0113,-0.3167,0.1272,0.3067,-0.1348,0.1267,0.0,-0.4935,-0.3682,-0.1894,0.4415
2024-07-08,-0.1559,-0.0005,0.9193,-0.2309,0.2897,1.0561,-0.7738,0.0,-0.1375,-0.2462,0.6884,-0.7664
2024-07-09,0.071,-0.0312,1.6028,-0.4588,0.2709,1.6383,-0.4258,0.0,0.1892,-0.1249,1.1441,-1.3674
2024-07-10,0.1157,-0.056,2.8085,-0.6318,0.2504,2.9494,-0.9994,0.0,0.2142,-0.0544,2.1767,-2.699
2024-07-11,0.0966,-0.0417,2.1502,-0.3727,0.2281,2.2275,-0.7494,0.0,0.2039,-0.0179,1.7776,-1.9993
2024-07-12,-0.3072,-0.024,0.3348,-0.066,0.2039,0.487,-0.3025,0.0,-0.3428,-0.139,0.2688,-0.283
2024-07-13,-0.2703,-0.0154,-0.9156,0.1085,0.1778,-0.8558,-0.2726,0.0,-0.2466,-0.3547,-0.8072,1.0336
2024-07-14,-0.0311,-0.0355,0.0219,-0.1356,0.1497,-0.0328,-0.2046,0.0,0.0324,-0.2197,-0.1136,0.1825
2024-07-15,0.0628,-0.012,-1.2257,-0.058,0.1196,-1.2562,0.6741,0.0,0.1076,-0.0789,-1.2837,1.3757
2024-07-16,0.1891,0.0046,-1.0679,-0.0515,0.0873,-1.1394,1.1102,0.0,0.1927,0.0403,-1.1193,1.2267
2024-07-17,0.3476,-0.0013,-0.1973,-0.1143,0.0529,-0.1594,0.3565,0.0,0.4537,0.2368,-0.3116,0.2123
2024-07-18,0.2254,0.0115,-1.2204,0.0507,0.0162,-1.2848,0.9532,0.0,0.2627,0.2769,-1.1698,1.301
2024-07-19,0.153,0.0179,0.2863,-0.1513,-0.0228,0.1638,0.273,0.0,0.1186,0.094,0.1351,-0.1865
2024-07-20,0.3339,0.0234,0.7058,-0.1065,-0.0641,0.6685,0.7871,0.0,0.3378,0.3472,0.5993,-0.7325
2024-07-21,0.3503,0.004,0.5767,0.0609,-0.1078,0.5779,0.0393,0.0,0.3299,0.3366,0.6376,-0.6857
2024-07-22,0.0756,0.0038,0.2769,0.2078,-0.1541,0.3284,-0.3329,0.0,-0.0325,0.2502,0.4848,-0.4825
2024-07-23,-0.0596,-0.0037,0.3085,0.3351,-0.2028,0.4375,-0.93,0.0,-0.2079,0.1315,0.6436,-0.6403
2024-07-24,-0.0603,-0.0061,-0.6421,0.2543,-0.2543,-0.6388,-0.2658,0.0,-0.2192,0.0757,-0.3878,0.3845
2024-07-25,0.0195,0.022,-1.3743,0.4286,-0.3084,-1.5011,0.4904,0.0,-0.1103,0.1398,-0.9457,1.1927
2024-07-26,0.1151,0.0338,-0.8071,0.5591,-0.3653,-0.5936,0.1028,0.0,0.0218,0.2105,-0.248,0.2283
2024-07-27,0.1731,0.0284,0.0959,0.3197,-0.425,0.1719,-0.4654,0.0,0.0503,0.3978,0.4156,-0.5969
2024-07-28,0.022,0.0229,-0.3826,0.1293,-0.4876,-0.2768,-0.2623,0.0,-0.0716,0.1718,-0.2534,-0.2108
2024-07-29,-0.0856,-0.0039,-1.0889,0.0876,-0.5531,-1.2775,0.0569,0.0,-0.0941,-0.0935,-1.0013,0.7244
